,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
81,1982.0,5.4164693585652754,6.9228985663468885,10.062136918259325,12.396139083557953,16.132393634296793,17.870933520397124,19.460171079873568,19.202325451706443,16.92802126937426,13.210196376388055,9.5428578377721,7.192012098895294
82,1983.0,4.849626176368063,5.558845650466788,8.514745149911805,11.321937841169223,14.994366904573186,17.826682280158966,19.986840042750234,19.721053963662694,16.58578932688727,12.44986853386682,8.043591836734693,4.286127898033198
83,1984.0,4.413772488755628,6.756543944114043,8.250966119388773,11.915741372772107,15.202628625772691,17.86821857715036,19.154860573198988,19.076468740798813,15.792674884746377,12.719956678700305,8.49371044133473,6.088429555713954
84,1985.0,3.8104771030865363,5.676859358841783,9.605143888602374,13.301448240165607,16.131866597724873,17.78187053340241,19.58779604229916,18.8415062227423,16.31212031881206,13.021864540042666,8.473535996229527,5.706642552641761
85,1986.0,5.039026247424479,5.456778297474278,9.611454036397546,12.461338126809215,15.665341556863774,17.978080059998113,18.808398825868768,18.317820748332196,15.563023692003856,12.183461265103043,8.021557221283782,5.46954854313026
86,1987.0,4.070537663755461,6.473167724388019,8.286238021356178,12.894117054405555,15.82042868996032,18.294615313991926,19.475890919209665,18.719240087063536,16.677211343686725,12.151048108268236,8.826584864975878,5.578619469026569
87,1988.0,4.795106715731365,5.999612789945466,8.72923283858997,12.305855023789537,15.87371734077171,18.378436885015343,19.85549668874165,19.21947959673539,16.187368111970276,12.377060895822858,8.034889583333303,5.2483250508244526
88,1989.0,5.145646644324165,5.308951504867376,9.175119928666968,12.105662467613637,14.931370549293245,17.13982075640783,18.545345780839316,17.792620923415143,15.429814345991586,11.959801438848904,8.159105824446232,4.535508426000252
89,1990.0,5.08436347315163,6.171869905173874,9.143588131757594,11.979226709115313,14.811514235323758,18.165039635688892,19.394751706484726,19.12784269662914,16.406487439400635,12.04308227848102,8.271894885030472,4.450426070449275
90,1991.0,4.3286737918215605,6.582482784642962,8.988627170387316,12.096325071496654,15.247501677048495,17.846229979860013,19.821683985626795,19.343089720736828,16.43613772151903,12.342170833333299,7.289727634836918,5.05545507112292
91,1992.0,3.9890713324360605,5.731740131298487,8.228666095890436,11.25551842625206,15.015422911283293,17.441000172592265,18.542484336930013,18.182546969159848,15.326431146358996,10.778990884817196,6.213687826591828,3.5168439219070136
92,1993.0,4.278826063049835,4.646100516674491,8.113720974860858,11.615590490797503,15.544701028926482,17.30748455001917,18.743742397488624,18.43199960107717,15.276054811330418,11.458731635133683,6.482868861424053,5.236006045949243
93,1994.0,5.3732108947923685,5.893945092518093,10.06349129202104,12.918506190379519,15.661882220631815,18.57834156886967,20.146813598087085,19.343583766027386,16.54920254667103,12.239363949738683,8.571339790153335,6.30536393608926
94,1995.0,4.207647058823526,6.307044622625046,8.157312357180523,10.96531092881715,14.462778466442389,17.408283261802495,19.418444684879574,19.15757503441943,15.638413039417081,12.137835642618214,7.163235793468542,3.894727292965272
95,1996.0,4.464082491582505,6.0102728055901435,7.903436712541175,12.022184712764894,15.365078004622353,18.141471928633784,19.17532975609747,18.973612909652413,15.520643227314306,12.365323643208164,7.997928968297212,5.3502691853601005
96,1997.0,4.232085698590025,6.475708013172345,9.24685151068532,10.725486881005168,14.961372112440793,17.72884870572831,19.31908019979266,19.144642170065406,16.39605183076468,11.775774434571893,7.702429691583879,4.906970621468915
97,1998.0,5.2878364746482625,6.798221333333309,8.06956890396284,11.79142402826857,15.779488843452866,17.689771998574933,19.650511966888605,19.129959736456872,16.75187997378531,11.940311958405527,7.512448876800642,4.610431290571022
98,1999.0,5.315480786102817,6.540840999826412,8.494575414123727,11.851304804410578,15.001824348132478,17.826112783286142,19.699961507474725,18.94965775303454,16.367872796791918,12.295474592521598,8.805426597236126,4.983301445809348
99,2000.0,4.371380859540565,6.615883900534666,9.04049152252095,12.234687043873969,15.634241486068069,17.816647668393735,18.99759839427518,18.991701503157532,15.7666995163792,11.958734900271581,6.586494241655255,3.955153953438453
100,2001.0,3.7100744024061756,5.407394747811619,7.989612332616962,11.64544217687077,15.312080963532871,17.197576163374645,18.814323206751038,18.54220912085999,15.233848245614022,11.80705978260868,8.248806839892994,4.565265576573678
101,2002.0,4.462154005414874,5.8221921397379734,7.513454193860288,11.921406098741503,14.649866472444774,18.250548831039684,19.704634632970258,18.668463229078608,15.80284363448804,10.63599555753003,7.113959862491862,4.348772843178913
102,2003.0,4.915792872117429,4.919336747759309,8.8003067065357,11.863228588506527,15.5148425838552,18.20261320428626,20.11479437701906,19.677857142857068,16.08570195365743,12.286107845881217,8.00216653741762,5.25125264047312
103,2004.0,4.486025842500441,5.985818842460423,10.260090600226476,12.706711368218034,15.577454545454525,17.910281266584033,19.302042015310604,18.722015968063857,16.344345331729464,12.627807167235535,8.489140586189745,5.584231351351328
104,2005.0,5.006699156360061,5.863142880767337,8.064495746262557,12.192826123128112,15.040238532110152,18.187899237153058,20.129138675014843,19.159916788196014,16.75953689923835,12.639246895807075,8.396694075873677,4.149626310966298
105,2006.0,5.154525394859086,4.712235407312406,7.4297832173425995,12.352384701912229,15.326228006748673,18.336308411214958,20.49618869154297,18.98425789342839,15.768287960771003,11.78346466217382,8.200708781362014,5.657952562971659
106,2007.0,4.404387897595034,5.545564224704319,10.16133753733826,11.918125310790591,15.717957177372273,18.099483422638972,19.403374031660537,19.31744628028423,16.18124367695793,12.58400444839857,8.173173441985389,5.000365508885275
107,2008.0,4.30524786182844,5.803058921855443,8.302300662362672,11.708379235519919,15.034642766977985,18.281240611021992,19.58839290240824,18.74264859764988,16.141952226222884,12.317609029345345,8.43509719626169,4.73496021220155
108,2009.0,4.587918039712705,6.533146038543877,8.906583856270977,12.28596259910376,15.978417732457682,18.181339425587453,19.70099394152244,19.417543470546377,17.02747557003257,11.636583679114816,9.505074683664713,4.663691239877994
109,2010.0,4.448964858353422,5.286769076640491,9.23833487433802,12.67364728780577,15.307637325144986,18.834419658119685,20.641719624558657,19.91798936262972,17.10510971509472,12.953665914221183,8.282297848664639,4.3415172413793375
110,,,,,,,,,,,,,
111,,,,,,,,,,,,,
112,,,,,,,,,,,,,
113,,,,,,,,,,,,,
114,,,,,,,,,,,,,
115,,,,,,,,,,,,,
116,,,,,,,,,,,,,
117,,,,,,,,,,,,,
118,,,,,,,,,,,,,
